,year,state,state_po,state_fips,state_cen,state_ic,office,district,stage,runoff,special,candidate,party,writein,mode,candidatevotes,totalvotes,unofficial,version,fusion_ticket
28399,2018,CALIFORNIA,CA,6,93,71,US HOUSE,32,GEN,,False,GRACE FLORES NAPOLITANO,DEMOCRAT,False,TOTAL,121759,177031,False,20230706,False
28400,2018,CALIFORNIA,CA,6,93,71,US HOUSE,32,GEN,,False,JOSHUA M SCOTT,REPUBLICAN,False,TOTAL,55272,177031,False,20230706,False
28401,2018,CALIFORNIA,CA,6,93,71,US HOUSE,33,GEN,,False,KENNETH WESTON WRIGHT,REPUBLICAN,False,TOTAL,93769,312860,False,20230706,False
28402,2018,CALIFORNIA,CA,6,93,71,US HOUSE,33,GEN,,False,TED W LIEU,DEMOCRAT,False,TOTAL,219091,312860,False,20230706,False
28403,2018,CALIFORNIA,CA,6,93,71,US HOUSE,34,GEN,,False,JIMMY GOMEZ,DEMOCRAT,False,TOTAL,110195,151906,False,20230706,False
28404,2018,CALIFORNIA,CA,6,93,71,US HOUSE,34,GEN,,False,KENNETH MEJIA,GREEN,False,TOTAL,41711,151906,False,20230706,False
28405,2018,CALIFORNIA,CA,6,93,71,US HOUSE,35,GEN,,False,CHRISTIAN LEONEL VALIENTE,REPUBLICAN,False,TOTAL,45604,149024,False,20230706,False
28406,2018,CALIFORNIA,CA,6,93,71,US HOUSE,35,GEN,,False,NORMA J TORRES,DEMOCRAT,False,TOTAL,103420,149024,False,20230706,False
28407,2018,CALIFORNIA,CA,6,93,71,US HOUSE,36,GEN,,False,KIMBERLIN BROWN PELZER,REPUBLICAN,False,TOTAL,84839,207008,False,20230706,False
28408,2018,CALIFORNIA,CA,6,93,71,US HOUSE,36,GEN,,False,RAUL RUIZ,DEMOCRAT,False,TOTAL,122169,207008,False,20230706,False
28409,2018,CALIFORNIA,CA,6,93,71,US HOUSE,37,GEN,,False,KAREN BASS,DEMOCRAT,False,TOTAL,210555,236378,False,20230706,False
28410,2018,CALIFORNIA,CA,6,93,71,US HOUSE,37,GEN,,False,RON J BASSILIAN,REPUBLICAN,False,TOTAL,25823,236378,False,20230706,False
28411,2018,CALIFORNIA,CA,6,93,71,US HOUSE,38,GEN,,False,LINDA T SANCHEZ,DEMOCRAT,False,TOTAL,139188,202156,False,20230706,False
28412,2018,CALIFORNIA,CA,6,93,71,US HOUSE,38,GEN,,False,RYAN DOWNING,REPUBLICAN,False,TOTAL,62968,202156,False,20230706,False
28413,2018,CALIFORNIA,CA,6,93,71,US HOUSE,39,GEN,,False,GIL CISNEROS,DEMOCRAT,False,TOTAL,126002,244393,False,20230706,False
28414,2018,CALIFORNIA,CA,6,93,71,US HOUSE,39,GEN,,False,YOUNG KIM,REPUBLICAN,False,TOTAL,118391,244393,False,20230706,False
28415,2018,CALIFORNIA,CA,6,93,71,US HOUSE,40,GEN,,False,LUCILLE ROYBAL-ALLARD,DEMOCRAT,False,TOTAL,93938,121449,False,20230706,False
28416,2018,CALIFORNIA,CA,6,93,71,US HOUSE,40,GEN,,False,RODOLFO CORTES BARRAGAN,GREEN,False,TOTAL,27511,121449,False,20230706,False
28417,2018,CALIFORNIA,CA,6,93,71,US HOUSE,41,GEN,,False,AJA SMITH,REPUBLICAN,False,TOTAL,58021,166248,False,20230706,False
28418,2018,CALIFORNIA,CA,6,93,71,US HOUSE,41,GEN,,False,MARK TAKANO,DEMOCRAT,False,TOTAL,108227,166248,False,20230706,False
28419,2018,CALIFORNIA,CA,6,93,71,US HOUSE,42,GEN,,False,JULIA C PEACOCK,DEMOCRAT,False,TOTAL,100892,231932,False,20230706,False
28420,2018,CALIFORNIA,CA,6,93,71,US HOUSE,42,GEN,,False,KEN CALVERT,REPUBLICAN,False,TOTAL,131040,231932,False,20230706,False
28421,2018,CALIFORNIA,CA,6,93,71,US HOUSE,43,GEN,,False,MAXINE WATERS,DEMOCRAT,False,TOTAL,152272,196052,False,20230706,False
28422,2018,CALIFORNIA,CA,6,93,71,US HOUSE,43,GEN,,False,OMAR NAVARRO,REPUBLICAN,False,TOTAL,43780,196052,False,20230706,False
28423,2018,CALIFORNIA,CA,6,93,71,US HOUSE,44,GEN,,False,AJA L BROWN,DEMOCRAT,False,TOTAL,45378,143322,False,20230706,False
28424,2018,CALIFORNIA,CA,6,93,71,US HOUSE,44,GEN,,False,NANETTE DIAZ BARRAGAN,DEMOCRAT,False,TOTAL,97944,143322,False,20230706,False
28425,2018,CALIFORNIA,CA,6,93,71,US HOUSE,45,GEN,,False,KATIE PORTER,DEMOCRAT,False,TOTAL,158906,305289,False,20230706,False
28426,2018,CALIFORNIA,CA,6,93,71,US HOUSE,45,GEN,,False,MIMI WALTERS,REPUBLICAN,False,TOTAL,146383,305289,False,20230706,False
28427,2018,CALIFORNIA,CA,6,93,71,US HOUSE,46,GEN,,False,LOU CORREA,DEMOCRAT,False,TOTAL,102278,147916,False,20230706,False
28428,2018,CALIFORNIA,CA,6,93,71,US HOUSE,46,GEN,,False,RUSSELL RENE LAMBERT,REPUBLICAN,False,TOTAL,45638,147916,False,20230706,False
28429,2018,CALIFORNIA,CA,6,93,71,US HOUSE,47,GEN,,False,ALAN LOWENTHAL,DEMOCRAT,False,TOTAL,143354,221036,False,20230706,False
