year,state,district,c1,c2,c1_party,c2_party,c1_votes,c2_votes,winner,winner_party
2018,GEORGIA,3,DREW FERGUSON,CHUCK ENDERLIN,REPUBLICAN,DEMOCRAT,191996,101010.0,DREW FERGUSON,REPUBLICAN
2018,GEORGIA,4,"HENRY C ""HANK"" JOHNSON JR",JOE PROFIT,DEMOCRAT,REPUBLICAN,227717,61092.0,"HENRY C ""HANK"" JOHNSON JR",DEMOCRAT
2018,GEORGIA,5,JOHN R LEWIS,,DEMOCRAT,,275406,,JOHN R LEWIS,DEMOCRAT
2018,GEORGIA,6,LUCY MCBATH,KAREN HANDEL,DEMOCRAT,REPUBLICAN,160139,156875.0,LUCY MCBATH,DEMOCRAT
2018,GEORGIA,7,ROB WOODALL,CAROLYN BOURDEAUX,REPUBLICAN,DEMOCRAT,140430,140011.0,ROB WOODALL,REPUBLICAN
2018,GEORGIA,8,AUSTIN SCOTT,WRITEIN,REPUBLICAN,,198152,564.0,AUSTIN SCOTT,REPUBLICAN
2018,GEORGIA,9,DOUG COLLINS,JOSH MCCALL,REPUBLICAN,DEMOCRAT,224661,57912.0,DOUG COLLINS,REPUBLICAN
2018,GEORGIA,10,JODY HICE,TABITHA A JOHNSON-GREEN,REPUBLICAN,DEMOCRAT,190396,112339.0,JODY HICE,REPUBLICAN
2018,GEORGIA,11,BARRY LOUDERMILK,FLYNN D BROADY JR,REPUBLICAN,DEMOCRAT,191887,118653.0,BARRY LOUDERMILK,REPUBLICAN
2018,GEORGIA,12,RICK W ALLEN,FRANCYS JOHNSON,REPUBLICAN,DEMOCRAT,148986,101503.0,RICK W ALLEN,REPUBLICAN
2018,GEORGIA,13,DAVID SCOTT,DAVID CALLAHAN,DEMOCRAT,REPUBLICAN,223157,69760.0,DAVID SCOTT,DEMOCRAT
2018,GEORGIA,14,TOM GRAVES,STEVEN LAMAR FOSTER,REPUBLICAN,DEMOCRAT,175743,53981.0,TOM GRAVES,REPUBLICAN
2018,HAWAII,1,ED CASE,CAM CAVASSO,DEMOCRAT,REPUBLICAN,134650,42498.0,ED CASE,DEMOCRAT
2018,HAWAII,2,TULSI GABBARD,BRIAN EVANS,DEMOCRAT,REPUBLICAN,153271,44850.0,TULSI GABBARD,DEMOCRAT
2018,IDAHO,1,RUSS FULCHER,CRISTINA MCNEIL,REPUBLICAN,DEMOCRAT,197719,96922.0,RUSS FULCHER,REPUBLICAN
2018,IDAHO,2,MIKE SIMPSON,AARON SWISHER,REPUBLICAN,DEMOCRAT,170274,110381.0,MIKE SIMPSON,REPUBLICAN
2018,ILLINOIS,1,BOBBY L RUSH,JIMMY LEE TILLMAN II,DEMOCRAT,REPUBLICAN,189560,50960.0,BOBBY L RUSH,DEMOCRAT
2018,ILLINOIS,2,ROBIN KELLY,DAVID MERKLE,DEMOCRAT,REPUBLICAN,190684,44567.0,ROBIN KELLY,DEMOCRAT
2018,ILLINOIS,3,DANIEL WILLIAM LIPINSKI,ARTHUR J JONES,DEMOCRAT,REPUBLICAN,163053,57885.0,DANIEL WILLIAM LIPINSKI,DEMOCRAT
2018,ILLINOIS,4,"JESUS ""CHUY"" GARCIA",MARK WAYNE LORCH,DEMOCRAT,REPUBLICAN,143895,22294.0,"JESUS ""CHUY"" GARCIA",DEMOCRAT
2018,ILLINOIS,5,MIKE QUIGLEY,TOM HANSON,DEMOCRAT,REPUBLICAN,213992,65134.0,MIKE QUIGLEY,DEMOCRAT
2018,ILLINOIS,6,SEAN CASTEN,PETER J ROSKAM,DEMOCRAT,REPUBLICAN,169001,146445.0,SEAN CASTEN,DEMOCRAT
2018,ILLINOIS,7,DANNY K DAVIS,CRAIG CAMERON,DEMOCRAT,REPUBLICAN,215746,30497.0,DANNY K DAVIS,DEMOCRAT
2018,ILLINOIS,8,RAJA KRISHNAMOORTHI,"JITENDRA ""JD"" DIGANVKER",DEMOCRAT,REPUBLICAN,130054,67073.0,RAJA KRISHNAMOORTHI,DEMOCRAT
2018,ILLINOIS,9,JANICE D SCHAKOWSKY,JOHN D ELLESON,DEMOCRAT,REPUBLICAN,213368,76983.0,JANICE D SCHAKOWSKY,DEMOCRAT
2018,ILLINOIS,10,BRAD SCHNEIDER,DOUGLAS R BENNETT,DEMOCRAT,REPUBLICAN,156540,82124.0,BRAD SCHNEIDER,DEMOCRAT
2018,ILLINOIS,11,BILL FOSTER,NICK STELLA,DEMOCRAT,REPUBLICAN,145407,82358.0,BILL FOSTER,DEMOCRAT
