year,state,district,c1_x,c2_x,c1_party_x,c2_party_x,c1_votes,c2_votes,winner,winner_party,c1_y,c2_y,c1_party_y,c2_party_y,c1_pct,c2_pct
2018,FLORIDA,8,BILL POSEY,SANJAY PATEL,REPUBLICAN,DEMOCRAT,218112.0,142415.0,BILL POSEY,REPUBLICAN,,,,,,
2018,FLORIDA,9,DARREN SOTO,WAYNE LIEBNITZKY,DEMOCRAT,REPUBLICAN,172172.0,124565.0,DARREN SOTO,DEMOCRAT,DARREN SOTO,WAYNE LIEBNITZKY,DEM,REP,48.0,40.0
2018,FLORIDA,10,VAL DEMINGS,,DEMOCRAT,,1.0,,VAL DEMINGS,DEMOCRAT,,,,,,
2018,FLORIDA,11,DANIEL WEBSTER,DANA COTTRELL,REPUBLICAN,DEMOCRAT,239395.0,128053.0,DANIEL WEBSTER,REPUBLICAN,,,,,,
2018,FLORIDA,12,GUS MICHAEL BILIRAKIS,CHRIS HUNTER,REPUBLICAN,DEMOCRAT,194564.0,132844.0,GUS MICHAEL BILIRAKIS,REPUBLICAN,GUS MICHAEL BILIRAKIS,CHRIS HUNTER,REP,DEM,49.1,29.7
2018,FLORIDA,13,CHARLIE CRIST,GEORGE BUCK,DEMOCRAT,REPUBLICAN,182717.0,134254.0,CHARLIE CRIST,DEMOCRAT,,,,,,
2018,FLORIDA,14,KATHY CASTOR,,DEMOCRAT,,1.0,,KATHY CASTOR,DEMOCRAT,,,,,,
2018,FLORIDA,15,ROSS SPANO,KRISTEN CARLSON,REPUBLICAN,DEMOCRAT,151380.0,134132.0,ROSS SPANO,REPUBLICAN,ROSS SPANO,KRISTEN CARLSON,REP,DEM,49.0,48.0
2018,FLORIDA,16,VERN BUCHANAN,DAVID SHAPIRO,REPUBLICAN,DEMOCRAT,197483.0,164463.0,VERN BUCHANAN,REPUBLICAN,VERN BUCHANAN,VERN BUCHANAN,REP,REP,52.0,50.4
2018,FLORIDA,17,GREG STEUBE,ALLEN ELLISON,REPUBLICAN,DEMOCRAT,193326.0,117194.0,GREG STEUBE,REPUBLICAN,,,,,,
2018,FLORIDA,18,BRIAN MAST,LAUREN BAER,REPUBLICAN,DEMOCRAT,185905.0,156454.0,BRIAN MAST,REPUBLICAN,BRIAN MAST,BRIAN MAST,REP,REP,53.0,52.0
2018,FLORIDA,19,FRANCIS ROONEY,DAVID HOLDEN,REPUBLICAN,DEMOCRAT,211465.0,128106.0,FRANCIS ROONEY,REPUBLICAN,FRANCIS ROONEY,DAVID HOLDEN,REP,DEM,51.0,42.0
2018,FLORIDA,20,ALCEE L HASTINGS,JAY BONNER,DEMOCRAT,NO PARTY AFFILIATION,202659.0,165.0,ALCEE L HASTINGS,DEMOCRAT,,,,,,
2018,FLORIDA,21,LOIS FRANKEL,,DEMOCRAT,,1.0,,LOIS FRANKEL,DEMOCRAT,,,,,,
2018,FLORIDA,22,TED DEUTCH,NICOLAS KIMAZ,DEMOCRAT,REPUBLICAN,184634.0,113049.0,TED DEUTCH,DEMOCRAT,,,,,,
2018,FLORIDA,23,DEBBIE WASSERMAN SCHULTZ,"JOSEPH ""JOE"" KAUFMAN",DEMOCRAT,REPUBLICAN,161611.0,99446.0,DEBBIE WASSERMAN SCHULTZ,DEMOCRAT,,,,,,
2018,FLORIDA,24,FREDERICA WILSON,,DEMOCRAT,,1.0,,FREDERICA WILSON,DEMOCRAT,,,,,,
2018,FLORIDA,25,MARIO DIAZ-BALART,MARY BARZEE FLORES,REPUBLICAN,DEMOCRAT,128672.0,84173.0,MARIO DIAZ-BALART,REPUBLICAN,MARIO DIAZ-BALART,MARIO DIAZ-BALART,REP,REP,46.0,41.0
2018,FLORIDA,26,DEBBIE MUCARSEL-POWELL,CARLOS CURBELO,DEMOCRAT,REPUBLICAN,119797.0,115678.0,DEBBIE MUCARSEL-POWELL,DEMOCRAT,DEBBIE MUCARSEL-POWELL,DEBBIE MUCARSEL-POWELL,DEM,DEM,50.0,49.0
2018,FLORIDA,27,DONNA SHALALA,MARIA ELVIRA SALAZAR,DEMOCRAT,REPUBLICAN,130743.0,115588.0,DONNA SHALALA,DEMOCRAT,MARIA ELVIRA SALAZAR,MARIA ELVIRA SALAZAR,REP,REP,51.0,50.0
2018,GEORGIA,1,"EARL L ""BUDDY"" CARTER",LISA M RING,REPUBLICAN,DEMOCRAT,144741.0,105942.0,"EARL L ""BUDDY"" CARTER",REPUBLICAN,,,,,,
2018,GEORGIA,2,SANFORD BISHOP,HERMAN WEST JR,DEMOCRAT,REPUBLICAN,136699.0,92472.0,SANFORD BISHOP,DEMOCRAT,,,,,,
2018,GEORGIA,3,DREW FERGUSON,CHUCK ENDERLIN,REPUBLICAN,DEMOCRAT,191996.0,101010.0,DREW FERGUSON,REPUBLICAN,DREW FERGUSON,CHUCK ENDERLIN,REP,DEM,56.0,26.0
2018,GEORGIA,4,"HENRY C ""HANK"" JOHNSON JR",JOE PROFIT,DEMOCRAT,REPUBLICAN,227717.0,61092.0,"HENRY C ""HANK"" JOHNSON JR",DEMOCRAT,,,,,,
2018,GEORGIA,5,JOHN R LEWIS,,DEMOCRAT,,275406.0,,JOHN R LEWIS,DEMOCRAT,,,,,,
2018,GEORGIA,6,LUCY MCBATH,KAREN HANDEL,DEMOCRAT,REPUBLICAN,160139.0,156875.0,LUCY MCBATH,DEMOCRAT,LUCY MCBATH,KAREN HANDEL,DEM,REP,51.0,49.0
2018,GEORGIA,7,ROB WOODALL,CAROLYN BOURDEAUX,REPUBLICAN,DEMOCRAT,140430.0,140011.0,ROB WOODALL,REPUBLICAN,ROB WOODALL,ROB WOODALL,REP,REP,59.0,49.0
2018,GEORGIA,8,AUSTIN SCOTT,WRITEIN,REPUBLICAN,,198152.0,564.0,AUSTIN SCOTT,REPUBLICAN,,,,,,
2018,GEORGIA,9,DOUG COLLINS,JOSH MCCALL,REPUBLICAN,DEMOCRAT,224661.0,57912.0,DOUG COLLINS,REPUBLICAN,,,,,,
2018,GEORGIA,10,JODY HICE,TABITHA A JOHNSON-GREEN,REPUBLICAN,DEMOCRAT,190396.0,112339.0,JODY HICE,REPUBLICAN,,,,,,
2018,GEORGIA,11,BARRY LOUDERMILK,FLYNN D BROADY JR,REPUBLICAN,DEMOCRAT,191887.0,118653.0,BARRY LOUDERMILK,REPUBLICAN,,,,,,
2018,GEORGIA,12,RICK W ALLEN,FRANCYS JOHNSON,REPUBLICAN,DEMOCRAT,148986.0,101503.0,RICK W ALLEN,REPUBLICAN,,,,,,
2018,GEORGIA,13,DAVID SCOTT,DAVID CALLAHAN,DEMOCRAT,REPUBLICAN,223157.0,69760.0,DAVID SCOTT,DEMOCRAT,,,,,,
