,year,state,district,c1_x,c2_x,c1_party_x,c2_party_x,c1_votes,c2_votes,winner,winner_party,c1_y,c2_y,c1_party_y,c2_party_y,c1_pct,c2_pct
139,2018,UTAH,3,GREGORY C DUERDEN,JAMES COURAGE SINGER,INDEPENDENT AMERICAN,DEMOCRAT,258858,258858,GREGORY C DUERDEN,INDEPENDENT AMERICAN,JOHN CURTIS,JOHN CURTIS,REP,REP,67.0,65.0
140,2018,UTAH,4,BEN MCADAMS,MIA B LOVE,DEMOCRAT,REPUBLICAN,269271,269271,BEN MCADAMS,DEMOCRAT,MIA B. LOVE,BEN MCADAMS,REP,DEM,51.0,49.51
141,2018,VIRGINIA,2,ELAINE G LURIA,SCOTT W TAYLOR,DEMOCRAT,REPUBLICAN,273400,273400,ELAINE G LURIA,DEMOCRAT,ELAINE G. LURIA,SCOTT W. TAYLOR,DEM,REP,51.0,50.0
142,2018,VIRGINIA,5,DENVER L RIGGLEMAN III,LESLIE C COCKBURN,REPUBLICAN,DEMOCRAT,310926,310926,DENVER L RIGGLEMAN III,REPUBLICAN,LESLIE COCKBURN,DENVER RIGGLEMAN,DEM,REP,45.62,44.59
143,2018,VIRGINIA,7,ABIGAIL A SPANBERGER,DAVE A BRAT,DEMOCRAT,REPUBLICAN,349803,349803,ABIGAIL A SPANBERGER,DEMOCRAT,ABIGAIL A. SPANBERGER,ABIGAIL A. SPANBERGER,DEM,DEM,48.0,48.0
144,2018,VIRGINIA,9,ANTHONY J FLACCAVENTO,H MORGAN GRIFFITH,DEMOCRAT,REPUBLICAN,246980,246980,ANTHONY J FLACCAVENTO,DEMOCRAT,H. MORGAN GRIFFITH,ANTHONY FLACCAVENTO,REP,DEM,48.0,41.0
145,2018,VIRGINIA,10,BARBARA J COMSTOCK,JENNIFER T WEXTON,REPUBLICAN,DEMOCRAT,367795,367795,BARBARA J COMSTOCK,REPUBLICAN,JENNIFER T. WEXTON,JENNIFER T. WEXTON,DEM,DEM,56.0,55.0
146,2018,WASHINGTON,3,CAROLYN LONG,JAIME HERRERA BEUTLER,DEMOCRAT,REPUBLICAN,307226,307226,CAROLYN LONG,DEMOCRAT,JAIME HERRERA BEUTLER,JAIME HERRERA BEUTLER,REP,REP,49.0,47.58
147,2018,WASHINGTON,5,CATHY MCMORRIS RODGERS,LISA BROWN,REPUBLICAN,DEMOCRAT,320347,320347,CATHY MCMORRIS RODGERS,REPUBLICAN,CATHY MCMORRIS RODGERS,CATHY MCMORRIS RODGERS,REP,REP,49.0,48.0
148,2018,WASHINGTON,8,DINO ROSSI,KIM SCHRIER,REPUBLICAN,DEMOCRAT,313057,313057,DINO ROSSI,REPUBLICAN,DINO ROSSI,DINO ROSSI,REP,REP,51.0,49.0
